check,result
comparison_scope,pipeline-level comparison; hardware not isolated as sole changed cause
recorded_seed,same
coordinates,equal
observation_mask,equal
latent_field,not byte-identical
rates,not byte-identical
poisson_counts,not byte-identical
seed_4_maximum_latent_difference,approximately 0.000992
changed_observed_counts,2 of 2048
changed_full_grid_counts,6 of 4096
statistical_consequence,posterior chains conditioned on different likelihood data
workflow_response,preserve old outputs; freeze authoritative A100 NPZ arrays; require exact data equality before method comparison

